"seconds","total_iops","avg_iops","avg_lat"
"5.00008","1365","272.995","3.55677"
"5.00008","2507","228.396","4.28041"
"5.00008","3237","145.998","6.63085"
"5.00008","3928","138.198","6.32136"
"5.00008","5138","241.996","4.56892"
"5.00008","6646","301.595","3.21571"
"5.00008","8171","304.995","3.17685"
"5.00008","9682","302.195","3.21076"
"5.00009","11187","300.995","3.22285"
"5.00012","12689","300.393","3.22948"
"5.00009","14202","302.594","3.20593"
"5.00008","15701","299.795","3.2334"
"5.00009","17177","295.195","3.29183"
"5.00009","18653","295.195","3.28669"
"5.00008","20133","295.995","3.27862"
"5.00008","21608","294.995","3.29067"
"5.00008","23067","291.795","3.32631"
"5.00008","24555","297.595","3.26138"
"5.00008","26034","295.795","3.27993"
"5.00009","27535","300.195","3.22435"
"5.00007","29003","293.596","3.30523"
"5.00008","30462","291.795","3.32291"
"5.00008","31930","293.595","3.30425"
